x,y,time,x_f,y_f
1725,616,1688676177.4130468,2.5251860381219573,0.9017475939032613
1338,538,1688676177.7363987,11.778848009037233,4.294366481990717
1000,478,1688676177.8596933,27.895984623431904,10.481377238441475
688,389,1688676178.0050938,48.047011452539955,18.712309523298185
440,343,1688676178.1236324,69.91807703347935,28.308103471965246
256,271,1688676178.2499936,91.74791614309143,38.69855850403801
127,209,1688676178.3646815,112.32245556901377,49.370298411399254
34,176,1688676178.479382,130.87016772503418,59.896001937994825
32,143,1688676178.5854318,147.03172139401596,69.99372209181229
184,157,1688676178.6957862,161.0441390048625,79.5249474463039
246,161,1688676178.8077242,173.58441831230581,88.49202760241752
285,157,1688676178.9317238,185.1951932154676,96.92818186319612
289,131,1688676179.065472,196.11710529734097,104.79597599085619
319,94,1688676179.1811254,206.4714225525305,111.97301955207712
453,76,1688676179.2990265,216.547102058977,118.31725150578737
556,60,1688676179.4147513,226.9014865339836,123.74889167657345
576,4,1688676179.5229154,237.971607475628,128.17701454947448
644,-24,1688676179.6513975,249.9261902803815,131.45294682537036
674,-38,1688676179.7616346,262.87442612000854,133.49432601213215
731,14,1688676179.9122589,276.90673157527203,134.41328007172083
781,22,1688676180.0234308,292.1108339875054,134.46602320593624
801,61,1688676180.1302803,308.53348003833344,133.90005004512386
618,75,1688676180.2396035,325.81411462169626,132.93018216228384
525,63,1688676180.3469603,343.1186060343111,131.68512173867597
562,99,1688676180.4657836,359.85711000750746,130.23918403307601
577,112,1688676180.5655968,375.9853288669404,128.72884102786267
533,150,1688676180.6713414,391.5067254483996,127.31610279949251
516,155,1688676180.7813375,406.26253339029074,126.13657307547784
534,179,1688676180.8917084,420.1590956840483,125.27801246025436
508,199,1688676180.9976904,433.19522946787913,124.81852919070676
487,244,1688676181.101638,445.30464857242833,124.87837334396048
574,261,1688676181.2140443,456.54179665344384,125.58844751460984
683,293,1688676181.3333166,467.31621661502305,127.03864735333569
788,267,1688676181.4553454,478.2137101007146,129.22309612674752
927,278,1688676181.5679266,489.8279684928737,132.03854816874204
989,275,1688676181.6823428,502.6669697212983,135.3918573341863
1023,283,1688676181.7968943,516.9614018861762,139.22580920883675
1141,254,1688676181.9212773,532.8374209508166,143.44394438998813
1262,260,1688676182.0352676,550.6079782322571,147.9167177176863
